id,value
Nepal.PN1.Bhojpur.Aamchok RM.Ward_7,1.1.1.8.7
Nepal.PN1.Bhojpur.Aamchok RM.Ward_8,1.1.1.8.8
Nepal.PN1.Bhojpur.Aamchok RM.Ward_9,1.1.1.8.9
Nepal.PN1.Bhojpur.Aamchok RM.Ward_10,1.1.1.8.10
Nepal.PN1.Bhojpur.HatuwaGadhi RM,1.1.1.9
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_1,1.1.1.9.1
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_2,1.1.1.9.2
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_3,1.1.1.9.3
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_4,1.1.1.9.4
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_5,1.1.1.9.5
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_6,1.1.1.9.6
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_7,1.1.1.9.7
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_8,1.1.1.9.8
Nepal.PN1.Bhojpur.HatuwaGadhi RM.Ward_9,1.1.1.9.9
Nepal.PN1.Dhankuta,1.1.2
Nepal.PN1.Dhankuta.Pakhribas MCP,1.1.2.1
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_1,1.1.2.1.1
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_2,1.1.2.1.2
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_3,1.1.2.1.3
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_4,1.1.2.1.4
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_5,1.1.2.1.5
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_6,1.1.2.1.6
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_7,1.1.2.1.7
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_8,1.1.2.1.8
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_9,1.1.2.1.9
Nepal.PN1.Dhankuta.Pakhribas MCP.Ward_10,1.1.2.1.10
Nepal.PN1.Dhankuta.Dhankuta MCP,1.1.2.2
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_1,1.1.2.2.1
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_2,1.1.2.2.2
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_3,1.1.2.2.3
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_4,1.1.2.2.4
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_5,1.1.2.2.5
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_6,1.1.2.2.6
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_7,1.1.2.2.7
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_8,1.1.2.2.8
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_9,1.1.2.2.9
Nepal.PN1.Dhankuta.Dhankuta MCP.Ward_10,1.1.2.2.10
Nepal.PN1.Dhankuta.Mahalaxmi MCP,1.1.2.3
Nepal.PN1.Dhankuta.Mahalaxmi MCP.Ward_1,1.1.2.3.1
Nepal.PN1.Dhankuta.Mahalaxmi MCP.Ward_2,1.1.2.3.2
Nepal.PN1.Dhankuta.Mahalaxmi MCP.Ward_3,1.1.2.3.3
Nepal.PN1.Dhankuta.Mahalaxmi MCP.Ward_4,1.1.2.3.4
Nepal.PN1.Dhankuta.Mahalaxmi MCP.Ward_5,1.1.2.3.5
Nepal.PN1.Dhankuta.Mahalaxmi MCP.Ward_6,1.1.2.3.6
Nepal.PN1.Dhankuta.Mahalaxmi MCP.Ward_7,1.1.2.3.7
Nepal.PN1.Dhankuta.Mahalaxmi MCP.Ward_8,1.1.2.3.8
Nepal.PN1.Dhankuta.Mahalaxmi MCP.Ward_9,1.1.2.3.9
Nepal.PN1.Dhankuta.SanguriGadhi RM,1.1.2.4
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_1,1.1.2.4.1
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_2,1.1.2.4.2
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_3,1.1.2.4.3
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_4,1.1.2.4.4
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_5,1.1.2.4.5
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_6,1.1.2.4.6
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_7,1.1.2.4.7
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_8,1.1.2.4.8
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_9,1.1.2.4.9
Nepal.PN1.Dhankuta.SanguriGadhi RM.Ward_10,1.1.2.4.10
Nepal.PN1.Dhankuta.Khalsa Chhintaag RM,1.1.2.5
Nepal.PN1.Dhankuta.Khalsa Chhintaag RM.Ward_1,1.1.2.5.1
Nepal.PN1.Dhankuta.Khalsa Chhintaag RM.Ward_2,1.1.2.5.2
Nepal.PN1.Dhankuta.Khalsa Chhintaag RM.Ward_3,1.1.2.5.3
Nepal.PN1.Dhankuta.Khalsa Chhintaag RM.Ward_4,1.1.2.5.4
Nepal.PN1.Dhankuta.Khalsa Chhintaag RM.Ward_5,1.1.2.5.5
Nepal.PN1.Dhankuta.Khalsa Chhintaag RM.Ward_6,1.1.2.5.6
Nepal.PN1.Dhankuta.Khalsa Chhintaag RM.Ward_7,1.1.2.5.7
Nepal.PN1.Dhankuta.Chhathat Jorpati RM,1.1.2.6
Nepal.PN1.Dhankuta.Chhathat Jorpati RM.Ward_1,1.1.2.6.1
Nepal.PN1.Dhankuta.Chhathat Jorpati RM.Ward_2,1.1.2.6.2
Nepal.PN1.Dhankuta.Chhathat Jorpati RM.Ward_3,1.1.2.6.3
Nepal.PN1.Dhankuta.Chhathat Jorpati RM.Ward_4,1.1.2.6.4
Nepal.PN1.Dhankuta.Chhathat Jorpati RM.Ward_5,1.1.2.6.5
Nepal.PN1.Dhankuta.Chhathat Jorpati RM.Ward_6,1.1.2.6.6
Nepal.PN1.Dhankuta.Chaubise RM,1.1.2.7
Nepal.PN1.Dhankuta.Chaubise RM.Ward_1,1.1.2.7.1
Nepal.PN1.Dhankuta.Chaubise RM.Ward_2,1.1.2.7.2
Nepal.PN1.Dhankuta.Chaubise RM.Ward_3,1.1.2.7.3
Nepal.PN1.Dhankuta.Chaubise RM.Ward_4,1.1.2.7.4
Nepal.PN1.Dhankuta.Chaubise RM.Ward_5,1.1.2.7.5
Nepal.PN1.Dhankuta.Chaubise RM.Ward_6,1.1.2.7.6
Nepal.PN1.Dhankuta.Chaubise RM.Ward_7,1.1.2.7.7
Nepal.PN1.Dhankuta.Chaubise RM.Ward_8,1.1.2.7.8
Nepal.PN1.Ilam,1.1.3
Nepal.PN1.Ilam.Ilam MCP,1.1.3.1
Nepal.PN1.Ilam.Ilam MCP.Ward_1,1.1.3.1.1
Nepal.PN1.Ilam.Ilam MCP.Ward_2,1.1.3.1.2
Nepal.PN1.Ilam.Ilam MCP.Ward_3,1.1.3.1.3
Nepal.PN1.Ilam.Ilam MCP.Ward_4,1.1.3.1.4
Nepal.PN1.Ilam.Ilam MCP.Ward_5,1.1.3.1.5
Nepal.PN1.Ilam.Ilam MCP.Ward_6,1.1.3.1.6
Nepal.PN1.Ilam.Ilam MCP.Ward_7,1.1.3.1.7
Nepal.PN1.Ilam.Ilam MCP.Ward_8,1.1.3.1.8
Nepal.PN1.Ilam.Ilam MCP.Ward_9,1.1.3.1.9
Nepal.PN1.Ilam.Ilam MCP.Ward_10,1.1.3.1.10
Nepal.PN1.Ilam.Ilam MCP.Ward_11,1.1.3.1.11
Nepal.PN1.Ilam.Ilam MCP.Ward_12,1.1.3.1.12
Nepal.PN1.Ilam.Deumai MCP,1.1.3.2
Nepal.PN1.Ilam.Deumai MCP.Ward_1,1.1.3.2.1
Nepal.PN1.Ilam.Deumai MCP.Ward_2,1.1.3.2.2
Nepal.PN1.Ilam.Deumai MCP.Ward_3,1.1.3.2.3
Nepal.PN1.Ilam.Deumai MCP.Ward_4,1.1.3.2.4
Nepal.PN1.Ilam.Deumai MCP.Ward_5,1.1.3.2.5
Nepal.PN1.Ilam.Deumai MCP.Ward_6,1.1.3.2.6
Nepal.PN1.Ilam.Deumai MCP.Ward_7,1.1.3.2.7
Nepal.PN1.Ilam.Deumai MCP.Ward_8,1.1.3.2.8
Nepal.PN1.Ilam.Deumai MCP.Ward_9,1.1.3.2.9
Nepal.PN1.Ilam.Mai MCP,1.1.3.3
Nepal.PN1.Ilam.Mai MCP.Ward_1,1.1.3.3.1
Nepal.PN1.Ilam.Mai MCP.Ward_2,1.1.3.3.2
Nepal.PN1.Ilam.Mai MCP.Ward_3,1.1.3.3.3
Nepal.PN1.Ilam.Mai MCP.Ward_4,1.1.3.3.4
Nepal.PN1.Ilam.Mai MCP.Ward_5,1.1.3.3.5
Nepal.PN1.Ilam.Mai MCP.Ward_6,1.1.3.3.6
Nepal.PN1.Ilam.Mai MCP.Ward_7,1.1.3.3.7
Nepal.PN1.Ilam.Mai MCP.Ward_8,1.1.3.3.8
Nepal.PN1.Ilam.Mai MCP.Ward_9,1.1.3.3.9
Nepal.PN1.Ilam.Mai MCP.Ward_10,1.1.3.3.10
Nepal.PN1.Ilam.Suryodaya MCP,1.1.3.4
Nepal.PN1.Ilam.Suryodaya MCP.Ward_1,1.1.3.4.1
Nepal.PN1.Ilam.Suryodaya MCP.Ward_2,1.1.3.4.2
Nepal.PN1.Ilam.Suryodaya MCP.Ward_3,1.1.3.4.3
Nepal.PN1.Ilam.Suryodaya MCP.Ward_4,1.1.3.4.4
Nepal.PN1.Ilam.Suryodaya MCP.Ward_5,1.1.3.4.5
Nepal.PN1.Ilam.Suryodaya MCP.Ward_6,1.1.3.4.6
Nepal.PN1.Ilam.Suryodaya MCP.Ward_7,1.1.3.4.7
Nepal.PN1.Ilam.Suryodaya MCP.Ward_8,1.1.3.4.8
Nepal.PN1.Ilam.Suryodaya MCP.Ward_9,1.1.3.4.9
Nepal.PN1.Ilam.Suryodaya MCP.Ward_10,1.1.3.4.10
Nepal.PN1.Ilam.Suryodaya MCP.Ward_11,1.1.3.4.11
Nepal.PN1.Ilam.Suryodaya MCP.Ward_12,1.1.3.4.12
Nepal.PN1.Ilam.Suryodaya MCP.Ward_13,1.1.3.4.13
Nepal.PN1.Ilam.Suryodaya MCP.Ward_14,1.1.3.4.14
Nepal.PN1.Ilam.Phakaphokthum RM,1.1.3.5
Nepal.PN1.Ilam.Phakaphokthum RM.Ward_1,1.1.3.5.1
Nepal.PN1.Ilam.Phakaphokthum RM.Ward_2,1.1.3.5.2
Nepal.PN1.Ilam.Phakaphokthum RM.Ward_3,1.1.3.5.3
Nepal.PN1.Ilam.Phakaphokthum RM.Ward_4,1.1.3.5.4
Nepal.PN1.Ilam.Phakaphokthum RM.Ward_5,1.1.3.5.5
Nepal.PN1.Ilam.Phakaphokthum RM.Ward_6,1.1.3.5.6
Nepal.PN1.Ilam.Phakaphokthum RM.Ward_7,1.1.3.5.7
Nepal.PN1.Ilam.Chulachuli RM,1.1.3.6
Nepal.PN1.Ilam.Chulachuli RM.Ward_1,1.1.3.6.1
Nepal.PN1.Ilam.Chulachuli RM.Ward_2,1.1.3.6.2
Nepal.PN1.Ilam.Chulachuli RM.Ward_3,1.1.3.6.3
Nepal.PN1.Ilam.Chulachuli RM.Ward_4,1.1.3.6.4
Nepal.PN1.Ilam.Chulachuli RM.Ward_5,1.1.3.6.5
Nepal.PN1.Ilam.Chulachuli RM.Ward_6,1.1.3.6.6
Nepal.PN1.Ilam.Mai Jogmai RM,1.1.3.7
Nepal.PN1.Ilam.Mai Jogmai RM.Ward_1,1.1.3.7.1
Nepal.PN1.Ilam.Mai Jogmai RM.Ward_2,1.1.3.7.2
Nepal.PN1.Ilam.Mai Jogmai RM.Ward_3,1.1.3.7.3
Nepal.PN1.Ilam.Mai Jogmai RM.Ward_4,1.1.3.7.4
Nepal.PN1.Ilam.Mai Jogmai RM.Ward_5,1.1.3.7.5
Nepal.PN1.Ilam.Mai Jogmai RM.Ward_6,1.1.3.7.6
Nepal.PN1.Ilam.Mangsebung RM,1.1.3.8
Nepal.PN1.Ilam.Mangsebung RM.Ward_1,1.1.3.8.1
Nepal.PN1.Ilam.Mangsebung RM.Ward_2,1.1.3.8.2
Nepal.PN1.Ilam.Mangsebung RM.Ward_3,1.1.3.8.3
Nepal.PN1.Ilam.Mangsebung RM.Ward_4,1.1.3.8.4
Nepal.PN1.Ilam.Mangsebung RM.Ward_5,1.1.3.8.5
Nepal.PN1.Ilam.Mangsebung RM.Ward_6,1.1.3.8.6
Nepal.PN1.Ilam.Rong RM,1.1.3.9
Nepal.PN1.Ilam.Rong RM.Ward_1,1.1.3.9.1
Nepal.PN1.Ilam.Rong RM.Ward_2,1.1.3.9.2
Nepal.PN1.Ilam.Rong RM.Ward_3,1.1.3.9.3
Nepal.PN1.Ilam.Rong RM.Ward_4,1.1.3.9.4
Nepal.PN1.Ilam.Rong RM.Ward_5,1.1.3.9.5
Nepal.PN1.Ilam.Rong RM.Ward_6,1.1.3.9.6
Nepal.PN1.Ilam.Sandakpur RM,1.1.3.10
Nepal.PN1.Ilam.Sandakpur RM.Ward_1,1.1.3.10.1
Nepal.PN1.Ilam.Sandakpur RM.Ward_2,1.1.3.10.2
Nepal.PN1.Ilam.Sandakpur RM.Ward_3,1.1.3.10.3
Nepal.PN1.Ilam.Sandakpur RM.Ward_4,1.1.3.10.4
Nepal.PN1.Ilam.Sandakpur RM.Ward_5,1.1.3.10.5
Nepal.PN1.Jhapa,1.1.4
Nepal.PN1.Jhapa.MechiNagar MCP,1.1.4.1
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_1,1.1.4.1.1
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_2,1.1.4.1.2
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_3,1.1.4.1.3
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_4,1.1.4.1.4
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_5,1.1.4.1.5
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_6,1.1.4.1.6
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_7,1.1.4.1.7
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_8,1.1.4.1.8
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_9,1.1.4.1.9
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_10,1.1.4.1.10
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_11,1.1.4.1.11
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_12,1.1.4.1.12
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_13,1.1.4.1.13
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_14,1.1.4.1.14
